Setting,Seed,Modes,High-Quality Samples,Reverse KL
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,18,10,0.3525,0.41604846059656847
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,16,6,0.1625,0.3366340509581069
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,13,11,0.5215,0.49733771415635303
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,19,11,0.3595,0.49599011613169774
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,14,9,0.2485,0.4103300013337973
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,20,12,0.2305,0.3264165851715613
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,1,10,0.206,0.2677325973509771
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,3,10,0.1885,0.20591868615384504
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,6,14,0.3225,0.28095083461409814
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,4,10,0.19,0.4381897943093665
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,7,10,0.3805,0.4768893836740393
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,2,14,0.26,0.13976541811571908
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,8,9,0.2525,0.6050361186965532
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,5,6,0.3065,0.6137183988179854
alpha-0.8_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,17,15,0.363,0.24721071452619753
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,10,18,0.3875,0.05873865521051243
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,9,12,0.348,0.33505088826183127
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,11,11,0.285,0.35184401869992915
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,13,18,0.4075,0.20216041149573666
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,14,17,0.3435,0.19952433716615647
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,15,11,0.2845,0.357512879183823
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,2,16,0.508,0.31996232371517813
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,1,17,0.433,0.1892650168451692
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,4,6,0.183,0.6550075732012497
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,17,10,0.231,0.3578433397763119
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,12,14,0.3655,0.2987321054397169
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,6,13,0.384,0.35838118988852097
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,3,5,0.2705,0.5857302935912063
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.074,0.6213930393501779
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.438,0.7119346857793818
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,19,6,0.239,0.5415493413991425
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,20,6,0.1555,0.4288215446915474
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,10,13,0.3495,0.25805425866609516
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,7,5,0.1835,0.4673612124062768
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,11,8,0.2275,0.3366623293542671
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,13,11,0.42,0.5570111240816988
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,12,11,0.2305,0.28834038587052946
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,16,10,0.229,0.34524457239251766
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,8,10,0.2575,0.6221589816566051
alpha-0.9_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,18,7,0.219,0.5151941045956985
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,14,8,0.24,0.582070599447575
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,15,10,0.3365,0.44053295879388926
alpha-1.0_dlayers-0_glayers-4_dwidth-100_gwidth-400_dlr-0.0001_glr-0.0001_,17,8,0.2655,0.4450085808761866
