Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-0.85,80,746,554,458,351,719,521,432,341,625,443,379,270,535,370,298,197,442,286,218,144,361,201,154,98,277,137,105,57,194,96,63,38,128,59,41,27,62,26,16,5
-non_saturating-n_epochs-50-d_alpha-1,78,744,560,460,332,704,517,418,310,600,392,320,226,475,293,233,163,363,227,171,112,287,156,120,79,206,116,77,43,137,67,36,15,73,22,13,5,28,4,1,1
-non_saturating-n_epochs-50-d_alpha-0.95,79,810,619,524,390,782,583,483,366,676,465,380,266,557,359,287,196,448,272,205,126,347,189,131,77,254,114,79,36,170,60,37,16,96,26,16,10,34,7,3,0
-non_saturating-n_epochs-50-d_alpha-0.9,80,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,79,663,488,421,350,654,483,413,342,575,440,378,305,509,374,320,235,440,318,260,187,367,252,200,123,311,199,138,84,252,131,92,43,163,76,42,17,73,14,7,2
-non_saturating-n_epochs-50-d_alpha-1,79,675,483,399,305,646,456,381,287,556,390,324,235,468,305,239,168,378,231,174,124,307,166,129,80,237,113,84,48,166,76,50,27,96,42,20,7,32,6,1,1
-non_saturating-n_epochs-50-d_alpha-0.95,80,732,536,452,321,680,499,411,302,558,399,326,241,467,302,251,179,371,238,190,122,293,178,130,76,224,113,82,46,150,68,41,25,79,28,22,6,30,6,3,1
-non_saturating-n_epochs-50-d_alpha-1,80,472,335,274,193,427,294,238,166,331,202,163,122,233,147,117,88,183,101,83,61,122,73,63,44,85,53,40,31,59,34,28,19,33,20,13,7,10,3,3,1
-non_saturating-n_epochs-50-d_alpha-0.9,79,834,683,573,423,820,672,552,409,773,596,485,331,693,497,388,261,618,402,293,183,527,287,205,120,414,201,145,70,307,134,82,37,190,67,43,19,81,20,12,3
-non_saturating-n_epochs-50-d_alpha-0.9,81,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,81,16,13,11,7,7,6,5,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,82,4,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,82,849,688,573,428,818,652,541,398,750,556,453,313,662,447,349,231,554,336,261,161,454,256,187,103,360,186,118,65,250,108,73,39,161,53,33,11,58,18,6,3
