Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-1,13,123.70544748090583,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[591.031111882946, 239.5608044428909, 98.87541700243582, 88.65323871188343, 98.09214596482207, 140.92772093148108, 134.8657989985527, 144.0028575321844, 118.35759664318516, 123.70544748090583]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.001-g_alpha-1-d_alpha-0.9,12,2078.012849900167,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[684.1986547814562, 184.10441907909228, 107.1219786672624, 77.62406977673186, 50.041576436503306, 68.4840238346577, 42.1809926663077, 67.9178418656088, 47.77223647955793, 2078.012849900167]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002-g_alpha-1-d_alpha-1,13,107.22683933578674,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[309.40713192814917, 118.19568873311971, 81.23567072459889, 56.94540667606384, 42.300249880223646, 50.127020985150125, 57.685426237527736, 62.87008484453531, 67.63480436840211, 107.22683933578674]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.5,13,58.295630078645445,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1590.2282145813015, 1387.7621711494514, 1662.6101615113023, 321.02625639234793, 1801.4915308641584, 347.49932791638844, 210.20770544244067, 103.99784305137223, 78.63697026618763, 58.295630078645445]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0002-g_alpha-1-d_alpha-0.7,13,76.23989480134026,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[334.99870138460005, 120.15338533778117, 75.33382858239463, 48.48880936200953, 47.208826717125476, 41.44700520016738, 40.397145758511215, 87.5284838313429, 71.62856614085649, 76.23989480134026]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.6,13,44.09451136934206,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1109.8287061231, 335.75095988250155, 124.33239203134974, 94.26297432003139, 78.61940743960918, 61.98651310301136, 62.20026840918854, 54.93773266139533, 41.382914933950474, 44.09451136934206]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.7,13,43.65335939121883,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[472.1395191777236, 184.33669721824162, 110.96030521775629, 82.32308685251814, 70.96100048972517, 59.34905838552163, 58.05747355572794, 53.660207602779565, 55.325627727162555, 43.65335939121883]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.7,13,113.07227738582367,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[881.7635265698236, 188.14609066690446, 93.53120211000464, 85.68867765694097, 81.97980756433799, 79.16362194422175, 82.86626463000107, 40.23444600443122, 81.68418093394803, 113.07227738582367]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.8,13,161.82421787349438,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[968.6486911092198, 283.9194540191934, 127.30486611825768, 91.05326891675372, 138.4645817594212, 170.55225796443358, 141.49892598722545, 137.00407074760437, 155.7524346238149, 161.82421787349438]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.5,13,647.3387294832717,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1996.6664563224936, 1112.7438616124532, 730.0651804790127, 455.52903181077954, 505.74287448446944, 398.1563961268736, 164.2086318196633, 138.4026872942195, 581.0094133588353, 647.3387294832717]"
