Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,8,0.98516,0.0017945430399021354,0.0017870972592820555,0.00044752824808623687,0.023512476007677544
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.9472,0.002760871272423601,0.0027304990337941523,0.0006861815322171763,0.033669225847728725
alpha-0.2_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.98356,0.0008517948886804932,0.0008512988627571369,0.00021286713565922414,0.01959373000639794
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.98244,0.0004280973725294731,0.00042841772055622444,0.00010705608340672457,0.0116362763915547
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,8,0.98624,0.001571887824238817,0.0015433726020734236,0.0003892477878455619,0.022672744721689057
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.97076,0.0020117798102591896,0.0020214278813119706,0.0005040253901834192,0.028310940499040295
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.976,0.012302002748554364,0.012647115350085024,0.0031132505575895203,0.07097728726807423
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,8,0.96452,0.0005354822837860002,0.0005342518563195304,0.0001337062939194009,0.014515355086372361
alpha-0.5_dlayers-2_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,7,0.97456,0.9133430008638364,0.162005508406702,0.05179579972084428,0.1610284708893154
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,1,1.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
